Name,MuseType,Province,Description,Latitude,Longitude,OpenHours,ImageURL
The Museum of Floral Culture,Cultural Museum,Bangkok,พิพิธภัณฑ์วัฒนธรรมดอกไม้ใจกลางกรุงเทพฯ,13.8040,100.5269,10:00–17:00 (ปิดวันจันทร์),
Bangkok National Museum,Cultural Museum,Bangkok,พิพิธภัณฑ์แห่งชาติที่ใหญ่ที่สุดในเอเชียตะวันออกเฉียงใต้,13.7612,100.4915,09:00–16:00 (ปิดวันจันทร์–อังคาร),
Rattanakosin Exhibition Hall,Cultural Museum,Bangkok,นิทรรศการเกี่ยวกับประวัติศาสตร์ของกรุงเทพฯ,13.7564,100.5014,10:00–19:00 (ปิดวันจันทร์),
Suan Pakkad Palace Museum,Cultural Museum,Bangkok,พิพิธภัณฑ์พระราชวังสวนผักกาด,13.7567,100.5372,09:00–16:00,
Kamthieng House Museum,Cultural Museum,Bangkok,พิพิธภัณฑ์บ้านคำเที่ยง,13.7394,100.5604,09:00–17:00 (ปิดวันอาทิตย์–จันทร์),
King Prajadhipok Museum,Cultural Museum,Bangkok,พิพิธภัณฑ์พระบาทสมเด็จพระปกเกล้าเจ้าอยู่หัว,13.7523,100.5045,09:00–16:00 (ปิดวันจันทร์),
Erawan Museum,Cultural Museum,Samut Prakan,พิพิธภัณฑ์เอราวัณ,13.6305,100.6040,09:00–18:00,
Ancient City (Muang Boran),Cultural Museum,Samut Prakan,เมืองโบราณ,13.5392,100.6170,09:00–18:00,
Thai Human Imagery Museum,Cultural Museum,Nakhon Pathom,พิพิธภัณฑ์หุ่นขี้ผึ้งไทย,13.8043,99.9550,09:00–17:30,
Siriraj Medical Museum,Cultural Museum,Bangkok,พิพิธภัณฑ์การแพทย์ศิริราช,13.7593,100.4894,10:00–17:00 (ปิดวันอาทิตย์–จันทร์),
Princess Maha Chakri Sirindhorn Anthropology Centre,Cultural Museum,Bangkok,ศูนย์มานุษยวิทยาสิรินธร,13.7646,100.5383,09:30–16:30 (ปิดวันจันทร์),
Museum of Thai Classical Music,Cultural Museum,Bangkok,พิพิธภัณฑ์ดนตรีไทยคลาสสิก,13.7837,100.4171,10:00–16:00,
Thai Labour Museum,Cultural Museum,Bangkok,พิพิธภัณฑ์แรงงานไทย,13.7456,100.5211,10:00–16:00 (ปิดวันจันทร์–อังคาร),
Bangkok Folk Museum,Cultural Museum,Bangkok,พิพิธภัณฑ์พื้นบ้านกรุงเทพฯ,13.7304,100.5149,10:00–16:00 (ปิดวันจันทร์–อังคาร),
Bank of Thailand Museum,Cultural Museum,Bangkok,พิพิธภัณฑ์ธนาคารแห่งประเทศไทย,13.7507,100.4975,09:30–16:00 (จองล่วงหน้า),
Thai Life Permanent Exhibition Hall,Cultural Museum,Nonthaburi,นิทรรศการถาวรชีวิตไทย,13.8472,100.5011,09:00–17:00,
